Serial number 100223040's Json reads: Device id: 100000003fd4731b, Device Type: hub, S3 Entry #1
Serial number 110923012's Json reads: Device id: 100000003ff9fda5, Device Type: hub, S3 Entry #1
Serial number 010124012's Json reads: Device id: 100000004030a9b9, Device Type: hub, S3 Entry #1
Serial number 111423023's Json reads: Device id: 1000000041038164, Device Type: hub, S3 Entry #1
Serial number 120723020's Json reads: Device id: 10000000413e07d0, Device Type: hub, S3 Entry #1
Serial number 081723002's Json reads: Device id: 1000000041e15143, Device Type: hub, S3 Entry #1
Serial number 022124011's Json reads: Device id: 10000000421fde08, Device Type: hub, S3 Entry #1
Serial number 081723007's Json reads: Device id: 10000000427d8233, Device Type: hub, S3 Entry #1
Serial number 091523001's Json reads: Device id: 1000000042e7a33e, Device Type: hub, S3 Entry #1
Serial number 091523001's Json reads: Device id: 1000000042e7a33e, Device Type: hub, S3 Entry #2
Serial number 071923006's Json reads: Device id: 10000000435ff351, Device Type: hub, S3 Entry #1
Serial number 071923006's Json reads: Device id: 10000000435ff351, Device Type: hub, S3 Entry #2
Serial number 100223023's Json reads: Device id: 1000000043fe2320, Device Type: hub, S3 Entry #1
Serial number 010124009's Json reads: Device id: 10000000453d4012, Device Type: hub, S3 Entry #1
Serial number 101223019's Json reads: Device id: 1000000046c4fb98, Device Type: hub, S3 Entry #3
Serial number 101223019's Json reads: Device id: 1000000046c4fb98, Device Type: hub, S3 Entry #4
Serial number 090123012's Json reads: Device id: 1000000046e25748, Device Type: hub, S3 Entry #1
Serial number 090123015's Json reads: Device id: 1000000047068e9e, Device Type: hub, S3 Entry #1
Serial number 101223029's Json reads: Device id: 10000000478ab7ee, Device Type: hub, S3 Entry #1
Serial number 100223022's Json reads: Device id: 1000000047fcce5e, Device Type: hub, S3 Entry #1
Serial number 100223007's Json reads: Device id: 100000004865a32d, Device Type: hub, S3 Entry #1
Serial number 100223037's Json reads: Device id: 10000000493020b4, Device Type: hub, S3 Entry #1
Serial number 080423003's Json reads: Device id: 10000000493f14e7, Device Type: hub, S3 Entry #1
Serial number 090123022's Json reads: Device id: 1000000049612ed5, Device Type: hub, S3 Entry #1
Serial number 101223002's Json reads: Device id: 1000000049b3fa85, Device Type: hub, S3 Entry #1
Serial number 120723013's Json reads: Device id: 1000000049c2bfc8, Device Type: hub, S3 Entry #1
Serial number 020924036's Json reads: Device id: 100000004a776d9f, Device Type: hub, S3 Entry #1
