,0
215,1000000052d1efc6
216,10000000530b4e00
217,10000000534d7c12
218,100000005386f997
219,1000000053b3a5ab
220,1000000053f7210c
221,1000000054dc7195
222,10000000556a875f
223,1000000056bedc7f
224,10000000570d71f9
225,10000000572dccf6
226,10000000576246ac
227,10000000576a510c
228,1000000058161135
229,1000000058884c9f
230,100000005902f72f
231,100000005a473b2c
232,100000005a915230
233,100000005ad47f5f
234,100000005b2516b0
235,100000005b4c8e15
236,100000005b82ca7f
237,100000005cce21e1
238,100000005cd223bb
239,100000005cf9d3d6
240,100000005d6d2f5c
241,100000005e51c1a0
242,100000005fed2302
243,10000000600b6db7
244,10000000601b420f
245,10000000606ed2ec
246,1000000060f05649
247,1000000060f2be07
248,10000000615b5899
249,10000000616c72c4
250,10000000616d8d36
251,10000000622ac6db
252,100000006237fa26
253,1000000062421991
254,10000000628a6dd7
255,1000000062b9175f
256,1000000062eaa03e
257,1000000063080c3a
258,100000006391895a
259,100000006415e46d
260,10000000641b6e05
261,1000000064e338d4
262,10000000652f7468
263,10000000657918d3
264,1000000065aa1635
265,100000006689ba2b
266,10000000668cec55
267,1000000066c0dea7
268,100000006700dfa1
269,1000000067077781
270,10000000670d6129
271,100000006761e34b
272,1000000067ffbe14
273,10000000682a241f
274,1000000069d55b91
275,1000000069de022e
276,1000000069e26c8f
277,100000006a60d04a
278,100000006b5d87fb
279,100000006baec524
280,100000006bc4fc60
281,100000006be3b351
282,100000006bf1df30
283,100000006bf7a41b
284,100000006c269f37
285,100000006cc2486d
286,100000006d01a130
287,100000006d08ec35
288,100000006d4dd9ee
289,100000006e0c4dcf
290,100000006ebc8907
291,100000006f338f46
292,100000007093eedd
293,1000000070e06b26
294,1000000071b0f57e
295,1000000072186e21
296,1000000072d7e836
297,100000007309102c
298,10000000732fc545
299,10000000735c7df8
300,10000000739c7090
301,1000000073ede5c0
302,1000000074a55955
303,1000000074fa862d
304,10000000757ee563
305,100000007636a848
306,1000000077713393
307,1000000078e52148
308,1000000079249ae1
309,100000007953c3ee
310,100000007988243f
311,1000000079ae3f63
312,100000007a32e7d8
313,100000007aadb3f3
314,100000007abc77ec
315,100000007ae8622a
316,100000007b3f6ecb
317,100000007b9437c0
318,100000007bb7fa93
319,100000007bd0a75e
320,100000007d22b2a3
321,100000007e1146a3
322,100000007e60e742
323,100000007f01da7b
324,100000007f2f4c5e
325,100000007f783276
326,100000007f90ad64
327,100000007fb537be
328,100000007ff1437e
329,1000000080ee9983
330,1000000081389f1a
331,100000008225573f
332,10000000828ca459
333,10000000829aefd1
334,1000000082b08ca0
335,1000000084346550
336,1000000084581bf8
337,1000000084642165
338,1000000084b6b50c
339,10000000855e4a54
340,1000000085901c7d
341,1000000085b75e6f
342,1000000085d255ef
343,1000000086301c74
344,10000000863f0c0d
345,100000008664bcab
346,100000008667c382
347,1000000087578797
348,1000000087fecb9a
349,1000000088cdcf2c
350,100000008adda206
351,100000008b758362
352,100000008b979140
353,100000008beb48ba
354,100000008bfc90e2
355,100000008ca44e6f
356,100000008cd6c56d
357,100000008d6b527b
358,100000008d8dfc80
359,100000008d961320
360,100000008f458d32
361,100000008f5c500f
362,100000008f9f8c37
363,100000008fef7a61
364,10000000914245d4
365,10000000914e191f
366,1000000091922965
367,1000000091b666d4
368,100000009225984e
369,10000000923c4be9
370,1000000092902dbd
371,1000000092c5f385
372,1000000093736db2
373,1000000093879705
374,10000000946aa7f6
375,10000000947e701d
376,10000000965e6e57
377,10000000966f19a7
378,1000000096a39d42
379,1000000096c8a7c8
380,100000009798808f
381,1000000097ed5d70
382,1000000097fb080a
383,1000000097ff9c8e
384,1000000098002c29
385,1000000098c3752f
386,1000000098c84cf8
387,1000000099b850df
388,100000009a053e6a
389,100000009c4f314d
390,100000009c8ee748
391,100000009c9d333f
392,100000009cb7d6ca
393,100000009d08e67f
394,100000009e1973b4
395,100000009ea07385
396,100000009eff6a84
397,100000009f192f8a
398,100000009fe78d0e
399,10000000a00af613
400,10000000a02f4821
401,10000000a07cf22b
402,10000000a0b34fa4
403,10000000a0fc1f63
404,10000000a110833d
405,10000000a194bfc0
406,10000000a1ea0102
